Run,Pathfinding Time A* (s),Total Distance A* (m),Total Time A* (min),Pathfinding Time AstarBiasHeuristic (s),Total Distance AstarBiasHeuristic (m),Total Time AstarBiasHeuristic (min)
1,1.750715732574463,89808.0,33.48254563982751,1.2316169738769531,89808.0,33.48254563982751
2,1.86456298828125,100744.0,37.55974498862887,1.3294830322265625,100744.0,37.55974498862887
3,1.6611826419830322,95038.0,35.432413287434606,1.1669378280639648,95038.0,35.432413287434606
4,0.8208925724029541,49294.0,18.377968608249343,0.6598808765411377,49294.0,18.377968608249343
5,1.026759386062622,53344.0,19.887904358308376,0.7235040664672852,53344.0,19.887904358308376
6,2.8508706092834473,117288.0,43.727739321709514,2.0185365676879883,117288.0,43.727739321709514
7,0.9317209720611572,64756.0,24.14256776069693,0.7065587043762207,64756.0,24.14256776069693
8,2.8045530319213867,120368.0,44.87603613903836,1.928011178970337,120368.0,44.87603613903836
9,1.6469171047210693,80560.0,30.034672598705058,1.2748095989227295,80560.0,30.034672598705058
10,1.6038494110107422,78940.0,29.430698298681445,1.1572489738464355,78940.0,29.430698298681445
